date,date_str,status,error_type,error_msg,attempts,slept_backoff_sec,created_at
1983-02-01,01-02-83,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:22
1983-04-26,26-04-83,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:24
1983-05-04,04-05-83,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:24
1983-05-24,24-05-83,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:25
1983-06-20,20-06-83,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:25
1983-06-21,21-06-83,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:25
1983-07-26,26-07-83,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:26
1983-11-01,01-11-83,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:28
1984-01-23,23-01-84,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:30
1984-01-29,29-01-84,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:30
1984-03-05,05-03-84,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:31
1984-04-17,17-04-84,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:32
1984-05-12,12-05-84,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:32
1984-06-06,06-06-84,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:33
1984-08-13,13-08-84,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:34
1984-10-15,15-10-84,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:36
1984-10-20,20-10-84,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:36
1984-11-08,08-11-84,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:36
1985-01-01,01-01-85,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:38
1985-11-12,12-11-85,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:45
1986-02-05,05-02-86,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:46
1986-02-16,16-02-86,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:47
1986-03-31,31-03-86,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:48
1986-05-11,11-05-86,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:49
1986-05-17,17-05-86,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:49
1986-06-19,19-06-86,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:49
1986-09-25,25-09-86,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:52
1986-10-13,13-10-86,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:52
1986-10-28,28-10-86,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:52
1986-12-16,16-12-86,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:53
1987-03-05,05-03-87,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:55
1987-03-08,08-03-87,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:55
1987-03-26,26-03-87,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:56
1987-07-20,20-07-87,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:58
1987-07-31,31-07-87,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:48:59
1987-10-15,15-10-87,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:00
1988-01-20,20-01-88,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:02
1988-02-18,18-02-88,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:03
1988-04-04,04-04-88,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:04
1988-05-14,14-05-88,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:05
1988-05-26,26-05-88,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:05
1988-09-25,25-09-88,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:08
1989-01-23,23-01-89,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:11
1989-02-01,01-02-89,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:11
1989-04-16,16-04-89,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:13
1989-07-02,02-07-89,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:15
1989-11-22,22-11-89,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:18
1990-01-21,21-01-90,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:19
1990-02-26,26-02-90,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:20
1990-04-25,25-04-90,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:22
1990-05-13,13-05-90,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:22
1990-07-25,25-07-90,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:24
1990-09-08,08-09-90,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:25
1990-09-26,26-09-90,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:25
1991-01-12,12-01-91,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:28
1991-03-05,05-03-91,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:29
1991-03-25,25-03-91,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:29
1991-04-27,27-04-91,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:30
1991-04-30,30-04-91,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:30
1991-05-01,01-05-91,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:30
1991-06-20,20-06-91,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:31
1991-07-27,27-07-91,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:32
1991-11-14,14-11-91,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:35
1992-06-27,27-06-92,EMPTY,EMPTY_RETURN,get_weather_features returned {},1,0.0,2026-05-12T06:49:40
