,Temp_23h_x,Temp_min_last_6h,Temp_mean_last_6h,Temp_21h_x,Temp_max_last_6h,Temp_18h_x,Tmean_so_far_23h_x,Tmax_so_far_23h_x,Tmin_so_far_23h_x,Temp_23h_ma3
Temp_23h_x,1.0,0.9981113025063391,0.9946939533974806,0.994230572123929,0.9850147118952773,0.9809232858634239,0.9746372064001892,0.9647893203240705,0.9645421643169638,0.9594423970691269
Temp_min_last_6h,0.9981113025063391,1.0,0.9963803584056896,0.9959097757154171,0.9865784795078131,0.985043601951909,0.9779106119324691,0.9671167338007868,0.9677435352267059,0.961620084118847
Temp_mean_last_6h,0.9946939533974806,0.9963803584056896,1.0,0.9983542859815653,0.9958752631769712,0.9941465260545458,0.9831982613885992,0.9767852229495863,0.9676873084444888,0.9617548322160858
Temp_21h_x,0.994230572123929,0.9959097757154171,0.9983542859815653,1.0,0.9913574630386524,0.9888800868468164,0.9794620903114323,0.9714463500490346,0.9655147671193945,0.959098441493575
Temp_max_last_6h,0.9850147118952773,0.9865784795078131,0.9958752631769712,0.9913574630386524,1.0,0.9980813013065098,0.9828973229142746,0.9820771454616132,0.9621277809324496,0.956767651652616
Temp_18h_x,0.9809232858634239,0.985043601951909,0.9941465260545458,0.9888800868468164,0.9980813013065098,1.0,0.9830629794730525,0.9815582765481268,0.9621915531407672,0.9562793329289684
Tmean_so_far_23h_x,0.9746372064001892,0.9779106119324691,0.9831982613885992,0.9794620903114323,0.9828973229142746,0.9830629794730525,1.0,0.9884329875463618,0.9882688568964088,0.9794061190390303
Tmax_so_far_23h_x,0.9647893203240705,0.9671167338007868,0.9767852229495863,0.9714463500490346,0.9820771454616132,0.9815582765481268,0.9884329875463618,1.0,0.9603241180676699,0.9602298139435844
Tmin_so_far_23h_x,0.9645421643169638,0.9677435352267059,0.9676873084444888,0.9655147671193945,0.9621277809324496,0.9621915531407672,0.9882688568964088,0.9603241180676699,1.0,0.9784866424208725
Temp_23h_ma3,0.9594423970691269,0.961620084118847,0.9617548322160858,0.959098441493575,0.956767651652616,0.9562793329289684,0.9794061190390303,0.9602298139435844,0.9784866424208725,1.0
