family,n_features,utility_score_mean,missing_rate_mean,drift_ks_mean
astronomical,3,0.37707605290069357,0.0,0.00014795487310549174
temperature_lags,15,0.3763755011315469,0.006548254985754985,0.03466647057999516
seasonality,5,0.32244998545496606,0.0,0.00013761339062545174
climatology,14,0.3004810135134684,0.048892513736263736,0.05465036671848515
temperature_rolling_trend,36,0.2959666216290404,0.0003653994539411206,0.053451678549900856
temperature_current,22,0.2953701431429671,3.338675213675214e-05,0.041330156139865154
humidity_dewpoint,11,0.26781121764957133,6.07031857031857e-05,0.05916282165632903
wind,8,0.10349773288078487,0.005825988247863248,0.06788156137622259
pressure,7,0.05692252482142542,0.0012114621489621488,0.03035210815732971
precipitation,5,0.04153268141505689,0.0004674145299145299,0.01633294416035582
other,4,-0.046286481805305965,0.015574919871794872,0.11506352161119174
