feature_a,feature_b,pearson_corr
DTR_so_far_23h_x,Temp_range_00_23h_x,1.0
daylight_hours_x,daylight_hours_plus1,0.9998515419265726
climatology_tmax_doy,climatology_tmax_doy_plus1,0.9997577984788043
Temp_change_23h_minus_12h,Temp_change_last_12h,0.9997372942500281
climatology_tmax_doy,climatology_tmean_doy_plus1,0.9996626694034575
climatology_tmax_p10_doy,climatology_tmax_p10_doy_plus1,0.9993872273157712
climatology_tmax_doy_plus1,climatology_tmean_doy_plus1,0.9993108250052872
climatology_tmin_doy_plus1,climatology_tmean_doy_plus1,0.999210770601427
Temp_change_23h_minus_18h,Temp_change_last_6h,0.9991440519033926
climatology_tmax_p90_doy,climatology_tmax_p90_doy_plus1,0.9990681029600107
tmax_anomaly_x,tmax_anomaly_vs_doy_plus1,0.9990557275032914
Temp_21h_x,Temp_mean_last_6h,0.9983542859815653
Temp_23h_x,Temp_min_last_6h,0.9981113025063391
Temp_18h_x,Temp_max_last_6h,0.99808130130651
climatology_tmax_doy,climatology_tmin_doy_plus1,0.9980346680590404
tmax_ma14_completed,tmean_ma14_completed,0.997894545265405
climatology_tmax_p10_doy,climatology_tmean_doy_plus1,0.9978198039965874
climatology_tmax_p10_doy_plus1,climatology_tmean_doy_plus1,0.997752064997014
climatology_tmax_doy,climatology_tmax_p10_doy_plus1,0.997575493871304
climatology_tmax_doy,climatology_tmax_p10_doy,0.9975055826048219
climatology_tmax_doy_plus1,climatology_tmax_p10_doy_plus1,0.9974770308602797
climatology_tmax_p10_doy,climatology_tmin_doy_plus1,0.9972127827803378
climatology_tmax_doy_plus1,climatology_tmin_doy_plus1,0.9970476698893685
tmax_ma7_completed,tmean_ma7,0.9970003339033017
climatology_tmax_p10_doy,climatology_tmax_doy_plus1,0.9969634680247851
tmin_ma7_completed,tmean_ma7,0.9965741850999881
climatology_tmax_p10_doy_plus1,climatology_tmin_doy_plus1,0.9965230937564411
Temp_mean_last_6h,Temp_min_last_6h,0.9963803584056894
climatology_tmax_p90_doy,climatology_tmax_doy_plus1,0.9960214790883671
Temp_21h_x,Temp_min_last_6h,0.9959097757154171
Temp_mean_last_6h,Temp_max_last_6h,0.9958752631769712
climatology_tmax_doy,climatology_tmax_p90_doy,0.9955831435352022
climatology_tmax_doy_plus1,climatology_tmax_p90_doy_plus1,0.9955369660964972
tmax_ma3_completed,tmean_ma3_completed,0.9951002613190391
Temp_23h_x,Temp_mean_last_6h,0.9946939533974806
climatology_tmax_doy,climatology_tmax_p90_doy_plus1,0.9945728569181231
tmin_ma3_completed,tmean_ma3_completed,0.9943184068421183
Temp_23h_x,Temp_21h_x,0.994230572123929
Temp_18h_x,Temp_mean_last_6h,0.9941465260545458
climatology_tmax_p90_doy,climatology_tmean_doy_plus1,0.9939736924438451
climatology_tmax_std_doy,climatology_tmax_std_doy_plus1,0.9938579426091347
climatology_tmax_p90_doy_plus1,climatology_tmean_doy_plus1,0.9928735143520578
Temp_21h_x,Temp_max_last_6h,0.9913574630386524
Td_23h_x,Td_mean_last_6h,0.9910556889525044
tmax_lag1,tmean_lag1,0.9906538782089745
tmax_lag2,tmean_lag2,0.9906536237282296
tmax_lag3,tmean_lag3,0.9906532723705167
Tmean_so_far_23h_x,Temp_12h_x,0.9905645639078695
climatology_tmax_p90_doy,climatology_tmin_doy_plus1,0.9902648298096236
climatology_tmax_p90_doy,climatology_tmax_p10_doy_plus1,0.9896451304628413
tmin_lag2,tmin_ma3_completed,0.9892256973221332
climatology_tmax_p10_doy,climatology_tmax_p90_doy,0.9889296266664361
Temp_18h_x,Temp_21h_x,0.9888800868468164
tmin_lag1,tmean_lag1,0.9888429500718195
tmin_lag2,tmean_lag2,0.9888421677757718
tmin_lag3,tmean_lag3,0.9888415820767306
climatology_tmax_p10_doy_plus1,climatology_tmax_p90_doy_plus1,0.9888197299821198
climatology_tmax_p90_doy_plus1,climatology_tmin_doy_plus1,0.9885075056686485
Tmax_so_far_23h_x,Tmean_so_far_23h_x,0.9884329875463621
Tmin_so_far_23h_x,Tmean_so_far_23h_x,0.9882688568964088
tmean_lag2,tmean_ma3_completed,0.9879760566606334
MA_Tmax_3d_asof_23h,Temp_23h_ma3,0.9879488476995468
climatology_tmax_p10_doy,climatology_tmax_p90_doy_plus1,0.9877637839338503
tmax_ma7_completed,tmin_ma7_completed,0.987183760349665
Temp_min_last_6h,Temp_max_last_6h,0.9865784795078131
Tmax_so_far_23h_x,Temp_12h_x,0.9857090423886398
Temp_18h_x,Temp_min_last_6h,0.9850436019519091
Temp_23h_x,Temp_max_last_6h,0.9850147118952773
tmin_ma7_completed,tmean_ma14_completed,0.9845092154558568
MA_Tmax_3d_asof_23h,tmean_lag1,0.9842373745584752
tmin_lag2,tmean_ma3_completed,0.9839687061446646
tmax_ma14_completed,tmean_ma7,0.9838941764164908
tmean_lag2,tmax_ma3_completed,0.983888082180768
month_sin,daylight_delta_plus1_minus_x,0.9835491431807385
tmean_ma7,tmean_ma14_completed,0.9833145133621782
Tmean_so_far_23h_x,Temp_mean_last_6h,0.9831982613885992
Tmean_so_far_23h_x,Temp_18h_x,0.9830629794730525
tmax_min7_completed,tmean_ma7,0.9830396260559346
Tmean_so_far_23h_x,Temp_max_last_6h,0.9828973229142742
Tmax_so_far_23h_x,Temp_max_last_6h,0.9820771454616133
Tmin_so_far_23h_x,Temp_06h_x,0.9818453252543821
tmean_lag1,Temp_23h_ma3,0.9817951088804252
Tmax_so_far_23h_x,Temp_18h_x,0.9815582765481268
tmean_lag2,tmin_ma3_completed,0.9815522433086713
tmax_min7_completed,tmin_ma7_completed,0.9810922190655901
Temp_change_last_6h,Temp_slope_last_6h,0.9809825471305453
Temp_23h_x,Temp_18h_x,0.9809232858634239
tmax_ma7_completed,tmax_ma14_completed,0.9808017821061672
tmax_ma14_completed,tmin_ma7_completed,0.9806739663605101
daylight_delta_plus1_minus_x,doy_sin,0.9806376120408458
Tmean_so_far_23h_x,Temp_06h_x,0.9805356526732144
Temp_change_23h_minus_18h,Temp_slope_last_6h,0.9804683323608805
Td_mean_00_23h_x,Td_min_00_23h_x,0.9801208498345599
MA_Tmax_3d_asof_23h,tmax_ma3_completed,0.9798213953513807
Tmean_so_far_23h_x,Temp_21h_x,0.9794620903114323
Tmean_so_far_23h_x,Temp_23h_ma3,0.9794061190390303
tmax_ma3_completed,tmin_ma3_completed,0.9789220146191064
tmax_ma7_completed,tmax_min7_completed,0.9787616596641577
MA_Tmax_3d_asof_23h,tmax_lag1,0.97861967885322
Tmin_so_far_23h_x,Temp_23h_ma3,0.9784866424208725
tmin_lag1,Temp_23h_ma3,0.9784773169618364
tmax_lag2,tmax_ma3_completed,0.9782065562080241
Tmean_so_far_23h_x,Temp_min_last_6h,0.9779106119324691
Td_mean_00_23h_x,Td_max_00_23h_x,0.9768458526360935
Tmax_so_far_23h_x,Temp_mean_last_6h,0.9767852229495863
tmin_ma3_completed,tmin_ma7_completed,0.9766139256081913
MA_Tmax_3d_asof_23h,tmean_ma3_completed,0.9762791938470096
tmax_ma7_completed,tmean_ma14_completed,0.9760932053107026
tmin_ma3_completed,tmean_ma7,0.9757132304362025
Temp_12h_x,Temp_18h_x,0.975061201890505
tmean_ma3_completed,tmean_ma7,0.9747493915136233
Tmean_so_far_23h_x,Temp_23h_x,0.9746372064001892
Temp_12h_x,Temp_max_last_6h,0.9744883621241526
tmax_ma7_completed,tmean_ma3_completed,0.9740599880634171
tmin_lag1,tmin_ma3_completed,0.9723478196146089
tmin_lag3,tmin_ma3_completed,0.9723453396462141
tmax_lag2,tmean_ma3_completed,0.9723175681354627
Temp_12h_x,Temp_mean_last_6h,0.9722695416869098
Tmax_so_far_23h_x,Temp_21h_x,0.9714463500490342
Tmin_so_far_23h_x,Temp_12h_x,0.9706770170091457
tmax_ma7_completed,tmax_max7_completed,0.9697289053377153
tmean_lag1,tmean_ma3_completed,0.9693704819695927
tmean_lag3,tmean_ma3_completed,0.969368284758866
MA_Tmax_3d_asof_23h,tmin_lag1,0.969345272062481
tmin_lag1,tmean_ma3_completed,0.969261879506264
tmin_lag2,tmax_ma3_completed,0.969072025884401
tmin_ma7_completed,tmean_ma3_completed,0.9690223613470152
tmax_ma3_completed,tmax_ma7_completed,0.9690183681902382
tmean_ma3_completed,Temp_23h_ma3,0.9689657319534554
tmax_ma7_completed,tmin_ma3_completed,0.9688153659556251
tmax_min7_completed,tmean_ma14_completed,0.9679009918524584
Tmin_so_far_23h_x,Temp_min_last_6h,0.9677435352267061
Tmin_so_far_23h_x,Temp_mean_last_6h,0.9676873084444888
tmax_ma14_completed,tmax_min7_completed,0.9675978637854072
Temp_12h_x,Temp_21h_x,0.9675108180043951
Td_mean_00_23h_x,Td_mean_last_6h,0.9671794733741264
Tmax_so_far_23h_x,Temp_min_last_6h,0.9671167338007867
tmean_lag3,tmin_ma3_completed,0.9668794515919272
tmean_lag1,tmax_ma3_completed,0.9666717613267267
Tmean_so_far_23h_x,MA_Tmax_3d_asof_23h,0.9664448555413355
Temp_06h_x,Temp_23h_ma3,0.9662610393371197
tmax_lag1,Temp_23h_ma3,0.9656283131806176
Temp_12h_x,Temp_min_last_6h,0.9655378515974441
Tmin_so_far_23h_x,Temp_21h_x,0.9655147671193945
Tmax_so_far_23h_x,Temp_23h_x,0.9647893203240707
Tmin_so_far_23h_x,Temp_23h_x,0.9645421643169638
tmin_ma3_completed,Temp_23h_ma3,0.9644450913493747
tmin_lag3,tmean_ma3_completed,0.9640188046290417
tmax_ma3_completed,tmean_ma7,0.9639341471141999
tmin_lag3,tmin_ma7_completed,0.963611011591808
tmax_ma3_completed,Temp_23h_ma3,0.9633033248970649
climatology_tmin_doy_plus1,tmax_ma14_completed,0.9630995390850006
climatology_tmin_doy_plus1,tmean_ma14_completed,0.9624608014060323
tmax_min7_completed,tmin_ma3_completed,0.9622007427845757
Tmin_so_far_23h_x,Temp_18h_x,0.9621915531407672
Tmin_so_far_23h_x,Temp_max_last_6h,0.9621277809324502
Temp_23h_x,Temp_12h_x,0.9621114477049795
MA_Tmax_3d_asof_23h,tmean_lag2,0.9619563362009739
tmean_lag3,tmax_ma3_completed,0.9618147511874847
MA_Tmax_3d_asof_23h,tmin_ma3_completed,0.9617687203219236
Temp_mean_last_6h,Temp_23h_ma3,0.9617548322160858
tmean_lag1,tmin_ma3_completed,0.9616548234010932
Temp_min_last_6h,Temp_23h_ma3,0.961620084118847
Td_min_00_23h_x,Td_mean_last_6h,0.9615795120702401
