feature,family,pearson,spearman,kendall,mutual_info,missing_rate,near_zero_variance,univariate_mae,univariate_lift,temporal_stability,drift_ks,corr_shift,perm_hist_gbr,perm_lightgbm,max_peer_corr,abs_pearson,abs_spearman,abs_kendall,perm_avg,gain_avg,n_abs_pearson,n_abs_spearman,n_abs_kendall,n_mutual_info,n_perm_avg,n_gain_avg,n_univariate_lift,n_temporal_stability,n_missing_rate,n_max_peer_corr,n_drift_ks,n_corr_shift,redundancy_penalty,drift_penalty,utility_score
Temp_23h_x,temperature_current,0.9445926900587932,0.9441163705917562,0.8024690903968792,1.113908722975646,6.677350427350428e-05,0.0,2.9669051576081333,0.6489324690220487,0.9921268642494147,0.045604711010404836,0.0021642039179337047,3.3097336237787247,3.2708902930032773,0.9981113025063391,0.9445926900587932,0.9441163705917562,0.8024690903968792,3.290311958391001,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0012755102040816328,0.9962102474285897,0.182751107195768,0.00857827723054365,0.5977261484571538,0.11308197520967826,0.8287916366129087
Temp_min_last_6h,temperature_current,0.9432935717792617,0.9430016435095244,0.8001374085794991,1.1009904305102056,0.0,0.0,2.9938907364915766,0.6457393232868952,0.9921261603738633,0.04546666465442217,0.0023029844951301115,1.4215570080935636,1.5900692595793235,0.9981113025063391,0.9432935717792617,0.9430016435095244,0.8001374085794991,1.5058131338364436,,0.998614372958713,0.9988166896677968,0.9970928494386373,0.9884027369577186,0.4580182951097955,0.0,0.9951218698459313,0.9999933139691403,0.0,0.9962102474285897,0.18219677722121763,0.009137841673253847,0.5977261484571538,0.1129732030020321,0.74429417675951
Temp_mean_last_6h,temperature_current,0.9388492083294788,0.9386852414199598,0.7861196560159109,1.0447129370650057,0.0,0.0,3.0846348204812637,0.6350017702392615,0.991186756661324,0.04615389331582678,0.003972951849013806,0.0018870292184480775,0.0012654549044687434,0.9983542859815653,0.9388492083294788,0.9386852414199598,0.7861196560159109,0.0015762420614584105,,0.9938740577200211,0.9942347222320554,0.9796154573988997,0.9378802010583114,0.0011567584447579199,0.0,0.9787182398061466,0.9910700288808687,0.0,0.9966978041988716,0.18495636796647819,0.015871163947866404,0.5980186825193229,0.11732228635903347,0.6603913738219982
Temp_21h_x,temperature_current,0.9370358317797778,0.9368464992676367,0.7885778216361475,1.0169182246446065,0.0,0.0,3.1350843692898613,0.6290321832122652,0.9910616651820223,0.04431650185126493,0.00425023305270289,0.001967965856715015,-2.9280499066253184e-06,0.9983542859815653,0.9370358317797778,0.9368464992676367,0.7885778216361475,0.0009825189034041947,,0.9919399277621181,0.9922828520193526,0.9826803084902991,0.9129277863342847,0.0009764349359904967,0.0,0.9695985738406567,0.989881799670122,0.0,0.9966978041988716,0.17757825822544634,0.016989164069718555,0.5980186825193229,0.11334262056315522,0.654311361941821
Temp_max_last_6h,temperature_rolling_trend,0.9309228599294093,0.9310508783701336,0.7784633933191698,0.971349986993939,0.0,0.0,3.2564362608748287,0.6146728738662989,0.9898567982525889,0.04703983112237964,0.006967699718993581,0.0008034552844721432,-0.0005968265099956405,0.99808130130651,0.9309228599294093,0.9310508783701336,0.7784633933191698,0.00010331438723825136,,0.9854198908786782,0.9861306572814105,0.9700695973116168,0.8720193737231163,0.0007094060334986547,0.0,0.9476620304687046,0.9784369107887442,0.0,0.9961500487336798,0.18851388223959184,0.027946012293187824,0.5976900292402079,0.12428673426103024,0.6391585655148633
Temp_18h_x,temperature_current,0.9276172760666793,0.9278548083506047,0.7725968102182834,0.9389889696847087,0.0,0.0,3.310382065824519,0.6082895823405347,0.9895524579137697,0.04524115178360322,0.006525327463567487,-1.6007634095505098e-05,0.00046184674855744847,0.99808130130651,0.9276172760666793,0.9278548083506047,0.7725968102182834,0.00022291955723097168,,0.981894186976573,0.9827379500108727,0.9627551171677581,0.8429676061574737,0.0007457320949419951,0.0,0.9379103531395941,0.9755460177989725,0.0,0.9961500487336798,0.1812912223947103,0.02616236367622297,0.5976900292402079,0.11923967890731536,0.6311906237313452
Tmean_so_far_23h_x,temperature_current,0.9191316137060247,0.9216856667567963,0.7545864858243553,0.9064025334772836,0.0,0.0,3.4678094326193145,0.5896615393013817,0.9883577073723342,0.04507148692810456,0.006117952591072617,-0.00149655102223889,0.0029388692056905976,0.9905645639078695,0.9191316137060247,0.9216856667567963,0.7545864858243553,0.0007211590917258538,,0.9728434612532817,0.9761892538276218,0.9402997700093861,0.8137134711145456,0.0008970556534860271,0.0,0.90945251688734,0.9641972232942344,0.0,0.9810673925747534,0.18060992722859612,0.024519824798616748,0.588640435544852,0.11817388625660435,0.6189306901715488
Tmax_so_far_23h_x,temperature_rolling_trend,0.9136074225139605,0.915938029101532,0.7533375543234581,0.8781795047181289,0.0,0.0,3.491326156330374,0.5868788557670729,0.9857898624543409,0.04261877828054306,0.007589865263183171,0.008324820461776294,0.010560436945821294,0.9884329875463621,0.9136074225139605,0.915938029101532,0.7533375543234581,0.009442628703798795,,0.9669514121476964,0.9700879944865305,0.938742597033694,0.7883765398408942,0.0035459097207781788,0.0,0.9052014448775341,0.9398055672257392,0.0,0.9767902931322577,0.17076098980099041,0.030454588947363526,0.5860741758793546,0.11463842945953966,0.6101296759495523
Tmin_so_far_23h_x,temperature_current,0.9101017701068427,0.9128946006437206,0.7450979061730848,0.8764041465563706,0.0,0.0,3.6502488267943467,0.568073876648297,0.9872693564425906,0.047816584967320275,0.005289708038575758,-0.0005637973271419127,0.0005385670162397993,0.9882688568964088,0.9101017701068427,0.9128946006437206,0.7450979061730848,-1.2615155451056704e-05,,0.9632123170636007,0.9668573200040921,0.9284693695430305,0.7867827304693187,0.0006741963206485627,0.0,0.8764733055145107,0.9538591061540149,0.0,0.9764609579397265,0.19163296449303371,0.021180335867181016,0.5858765747638359,0.12345191304269264,0.6054919819654662
Temp_23h_ma3,temperature_rolling_trend,0.9145585932154032,0.916375910646887,0.7454737084208218,0.8627346059744028,0.00020032051282051281,0.0,3.5956438583607837,0.5745351655769104,0.987192999673668,0.05018096729498617,0.0061683231511102665,-0.0010858157416098635,0.00018507841787105406,0.9879488476995468,0.9145585932154032,0.916375910646887,0.7454737084208218,-0.00045036866186940475,,0.967965921654309,0.9705528165628563,0.9289379213442783,0.774511042224117,0.0005412433657540677,0.0,0.8863441385334442,0.953133802210225,0.003826530612244898,0.9758188457535492,0.2011272244913706,0.024722919316061926,0.5854913074521295,0.13056550242124715,0.60416756177528
