feature,type,rows_total,non_null_feature,non_null_target,non_null_pair,missing_pct_feature,unique_values,pearson,spearman,eta,abs_pearson,abs_spearman,association_score,plot_path
date,high_cardinality_categorical,15118,15118,15118,15118,0.0,15118,,,1.0000000000000246,,,1.0000000000000246,..\report_correlation\plots\date__vs__t_max_x+1.png
date_str,high_cardinality_categorical,15118,15118,15118,15118,0.0,15118,,,1.0000000000000235,,,1.0000000000000235,..\report_correlation\plots\date_str__vs__t_max_x+1.png
Tmedia_día_x,numeric,15118,15118,15118,15118,0.0,515,0.9244451852678671,0.9263884105846706,,0.9244451852678671,0.9263884105846706,0.9263884105846706,..\report_correlation\plots\tmedia_dia_x__vs__t_max_x+1.png
Tmin_día_x,numeric,15118,15118,15118,15118,0.0,119,0.9152462314179959,0.9175501899756006,,0.9152462314179959,0.9175501899756006,0.9175501899756006,..\report_correlation\plots\tmin_dia_x__vs__t_max_x+1.png
Tmax_día_x,numeric,15118,15118,15118,15118,0.0,113,0.9148641879989836,0.9171129771319195,,0.9148641879989836,0.9171129771319195,0.9171129771319195,..\report_correlation\plots\tmax_dia_x__vs__t_max_x+1.png
MA_Tmax_3d,numeric,15118,15118,15118,15118,0.0,1184,0.8984640922382917,0.9015222828013754,,0.8984640922382917,0.9015222828013754,0.9015222828013754,..\report_correlation\plots\ma_tmax_3d__vs__t_max_x+1.png
Punto_de_rocío_día_x (Td),numeric,15118,15118,15118,15118,0.0,483,0.8656192870238356,0.8703501962342032,,0.8656192870238356,0.8703501962342032,0.8703501962342032,..\report_correlation\plots\punto_de_rocio_dia_x_td__vs__t_max_x+1.png
doy_cos,numeric,15118,15118,15118,15118,0.0,366,-0.8368571894272571,-0.8377689150732028,,0.8368571894272571,0.8377689150732028,0.8377689150732028,..\report_correlation\plots\doy_cos__vs__t_max_x+1.png
DTR_x,numeric,15118,15118,15118,15118,0.0,238,0.27292037557360993,0.316210329431887,,0.27292037557360993,0.316210329431887,0.316210329431887,..\report_correlation\plots\dtr_x__vs__t_max_x+1.png
doy_sin,numeric,15118,15118,15118,15118,0.0,366,-0.3107556381360528,-0.3115703843808684,,0.3107556381360528,0.3115703843808684,0.3115703843808684,..\report_correlation\plots\doy_sin__vs__t_max_x+1.png
Viento_vel_media_día_x,numeric,15118,15118,15118,15118,0.0,719,-0.3175634518465281,-0.2997089963790624,,0.3175634518465281,0.2997089963790624,0.2997089963790624,..\report_correlation\plots\viento_vel_media_dia_x__vs__t_max_x+1.png
Viento_dir_cos(x),numeric,15118,15118,15118,15118,0.0,297,-0.29252715674034857,-0.2848517902018658,,0.29252715674034857,0.2848517902018658,0.2848517902018658,..\report_correlation\plots\viento_dir_cos_x__vs__t_max_x+1.png
ΔTmax_1d,numeric,15118,15118,15118,15118,0.0,417,0.14770538779886339,0.1335504504535758,,0.14770538779886339,0.1335504504535758,0.1335504504535758,..\report_correlation\plots\tmax_1d__vs__t_max_x+1.png
Viento_dir_sin(x),numeric,15118,15118,15118,15118,0.0,295,0.11380125588556816,0.13316423837653724,,0.11380125588556816,0.13316423837653724,0.13316423837653724,..\report_correlation\plots\viento_dir_sin_x__vs__t_max_x+1.png
HR_media_día_x,numeric,15118,15118,15118,15118,0.0,72,0.14561115739650166,0.11920578438215153,,0.14561115739650166,0.11920578438215153,0.11920578438215153,..\report_correlation\plots\hr_media_dia_x__vs__t_max_x+1.png
Nubosidad_media_día_x,numeric,15118,15118,15118,15118,0.0,101,-0.06013207005337548,-0.07120103850842871,,0.06013207005337548,0.07120103850842871,0.07120103850842871,..\report_correlation\plots\nubosidad_media_dia_x__vs__t_max_x+1.png
Presión_media_día_x (SLP),numeric,15118,15118,15118,15118,0.0,484,-0.05397860371604297,-0.07057308183566517,,0.05397860371604297,0.07057308183566517,0.07057308183566517,..\report_correlation\plots\presion_media_dia_x_slp__vs__t_max_x+1.png
ΔPresión_24h,numeric,15118,15118,15118,15118,0.0,955,-0.039984615903571115,-0.058684427377458076,,0.039984615903571115,0.058684427377458076,0.058684427377458076,..\report_correlation\plots\presion_24h__vs__t_max_x+1.png
Precipitación_acum_día_x,numeric,15118,15118,15118,15118,0.0,455,-0.022899092232046697,-0.00503956488261928,,0.022899092232046697,0.00503956488261928,0.00503956488261928,..\report_correlation\plots\precipitacion_acum_dia_x__vs__t_max_x+1.png
ciudad,categorical,15118,15118,15118,15118,0.0,1,,,,,,,..\report_correlation\plots\ciudad__vs__t_max_x+1.png
