date,date_str,Tmax_día_x,Tmin_día_x,Tmedia_día_x,ΔTmax_1d,MA_Tmax_3d,DTR_x,HR_media_día_x,Punto_de_rocío_día_x (Td),Presión_media_día_x (SLP),ΔPresión_24h,Viento_vel_media_día_x,Viento_dir_sin(x),Viento_dir_cos(x),Nubosidad_media_día_x,Precipitación_acum_día_x,t_max_x+1,ciudad,doy_sin,doy_cos
1980-01-01,01-01-80,5.0,0.6,2.8,-2.2,6.833333333333333,4.4,72.0,-4.9,1009.0,0.2999999999999545,1.59,0.2923717047227367,0.9563047559630354,58.0,0.0,4.4,new york,0.0172015754182605,0.9998520419557736
1980-01-02,02-01-80,4.4,0.6,2.5,-0.5999999999999996,5.533333333333334,3.8,75.0,-4.1,1007.5,-1.5,3.22,-0.2419218955996678,0.9702957262759964,49.0,0.0,2.8,new york,0.034398060613608,0.9994082116062598
1980-01-03,03-01-80,2.8,-1.7,0.5499999999999999,-1.6000000000000003,4.066666666666667,4.5,66.0,-7.3,1015.4,7.899999999999977,2.62,-0.6293203910498378,0.7771459614569706,15.0,0.0,-1.7,new york,0.0515843668694083,0.9986686402879996
1980-01-04,04-01-80,-1.7,-5.6,-3.65,-4.5,1.8333333333333333,3.9,58.0,-10.6,1020.8,5.399999999999977,2.26,0.4694715627858908,0.882947592858927,80.0,0.0,-0.6,new york,0.0687554084811394,0.9976335468520452
1980-01-05,05-01-80,-0.6,-3.9,-2.25,1.1,0.1666666666666666,3.3,56.0,-10.1,1007.6,-13.199999999999932,5.2,0.224951054343865,0.9743700647852352,100.0,1.9,-1.7,new york,0.0859061042613327,0.9963032375991964
1980-01-06,06-01-80,-1.7,-6.1,-3.9,-1.1,-1.3333333333333333,4.4,55.0,-13.6,1017.0,9.399999999999975,3.23,-0.1564344650402311,0.9876883405951375,36.0,0.0,4.4,new york,0.1030313790431787,0.9946781061893646
1980-01-07,07-01-80,4.4,-2.8,0.8000000000000003,6.1000000000000005,0.7000000000000002,7.2,77.0,-2.8,1011.1,-5.899999999999977,4.97,-0.5150380749100542,-0.8571673007021123,96.0,0.5,3.9,new york,0.1201261651823505,0.9927586335250792
1980-01-08,08-01-80,3.9,-0.6,1.65,-0.5000000000000004,2.2,4.5,55.0,-8.7,1016.5,5.399999999999977,3.37,-0.9975640502598242,-0.0697564737441255,66.0,0.0,0.0,new york,0.1371854040566005,0.9905453876091832
1980-01-09,09-01-80,0.0,-2.8,-1.4,-3.9,2.766666666666667,2.8,64.0,-9.1,1022.6,6.100000000000023,1.91,-0.9876883405951378,0.1564344650402306,72.0,1.2,1.1,new york,0.1542040475626894,0.988039023376751
1980-01-10,10-01-80,1.1,-4.4,-1.65,1.1,1.6666666666666667,5.5,63.0,-10.2,1031.8,9.199999999999932,2.11,-0.9455185755993168,-0.3255681544571566,28.0,0.0,13.3,new york,0.1711770596101998,0.985240282501282
